fname,colid,fs,alpha,k
v10_1.csv,1,1,0.004,1
v10_1.csv,1,2,0.008,1
v10_1.csv,1,3,0.1550000000000001,1
v10_1.csv,1,4,0.43900000000000033,1
v10_1.csv,1,5,0.5800000000000004,1
v10_1.csv,2,1,0.001,1
v10_1.csv,2,2,0.001,1
v10_1.csv,2,3,0.002,1
v10_1.csv,2,4,0.04200000000000003,1
v10_1.csv,2,5,0.07900000000000006,1
v10_2.csv,0,1,0.001,1
v10_2.csv,0,2,0.001,1
v10_2.csv,0,3,0.002,1
v10_2.csv,0,4,0.03900000000000003,1
v10_2.csv,0,5,0.07300000000000005,1
v10_2.csv,1,1,0.03300000000000002,1
v10_2.csv,1,2,0.06400000000000004,1
v10_2.csv,1,3,0.3810000000000003,1
v10_2.csv,1,4,0.5700000000000004,2
v10_2.csv,1,5,0.6910000000000005,2
v10_2.csv,2,1,0.04200000000000003,1
v10_2.csv,2,2,0.08000000000000006,1
v10_2.csv,2,3,0.3110000000000002,1
v10_2.csv,2,4,0.4930000000000004,1
v10_2.csv,2,5,0.5990000000000004,1
v10_3.csv,0,1,0.001,1
v10_3.csv,0,2,0.001,1
v10_3.csv,0,3,0.002,1
v10_3.csv,0,4,0.07200000000000005,1
v10_3.csv,0,5,0.1320000000000001,1
v10_3.csv,1,1,0.006,1
v10_3.csv,1,2,0.012000000000000004,1
v10_3.csv,1,3,0.20800000000000016,1
v10_3.csv,1,4,0.5130000000000003,1
v10_3.csv,1,5,0.6440000000000005,2
v10_3.csv,2,1,0.04000000000000003,1
v10_3.csv,2,2,0.07600000000000005,1
v10_3.csv,2,3,0.2980000000000002,1
v10_3.csv,2,4,0.47800000000000037,1
v10_3.csv,2,5,0.5840000000000004,1
v10_4.csv,0,1,0.001,1
v10_4.csv,0,2,0.001,1
v10_4.csv,0,3,0.001,1
v10_4.csv,0,4,0.001,1
v10_4.csv,0,5,0.001,1
v10_4.csv,1,1,0.03800000000000003,1
v10_4.csv,1,2,0.07200000000000005,1
v10_4.csv,1,3,0.006,1
v10_4.csv,1,4,0.19100000000000014,1
v10_4.csv,1,5,0.3170000000000002,1
v10_5.csv,0,1,0.001,1
v10_5.csv,0,2,0.001,1
v10_5.csv,0,3,0.001,1
v10_5.csv,0,4,0.001,1
v10_5.csv,0,5,0.001,1
v10_5.csv,1,1,0.001,4
v10_5.csv,1,2,0.001,4
v10_5.csv,1,3,0.004,4
v10_5.csv,1,4,0.1430000000000001,4
v10_5.csv,1,5,0.2480000000000002,4
v10_5.csv,2,1,0.001,1
v10_5.csv,2,2,0.001,1
v10_5.csv,2,3,0.004,1
v10_5.csv,2,4,0.08500000000000006,1
v10_5.csv,2,5,0.1530000000000001,1
v10_5.csv,3,1,0.022000000000000013,1
v10_5.csv,3,2,0.04100000000000003,1
v10_5.csv,3,3,0.18300000000000013,1
v10_5.csv,3,4,0.32700000000000023,1
v10_5.csv,3,5,0.4290000000000003,1
v10_6.csv,0,1,0.001,1
v10_6.csv,0,2,0.001,1
v10_6.csv,0,3,0.001,1
v10_6.csv,0,4,0.001,1
v10_6.csv,0,5,0.001,1
v10_6.csv,1,1,0.09400000000000007,1
