fname,fs,alpha,k
41648740_0_6959523681065295632.csv,4,0.10500000000000008,3
41648740_0_6959523681065295632.csv,5,0.18900000000000014,3
54773498_0_4341462266113591159.csv,1,0.001,1
54773498_0_4341462266113591159.csv,2,0.001,1
54773498_0_4341462266113591159.csv,3,0.014000000000000005,1
54773498_0_4341462266113591159.csv,4,0.1440000000000001,1
54773498_0_4341462266113591159.csv,5,0.2430000000000002,1
19654359_0_3020273135042459469.csv,1,0.001,1
19654359_0_3020273135042459469.csv,2,0.001,1
19654359_0_3020273135042459469.csv,3,0.002,1
19654359_0_3020273135042459469.csv,4,0.024000000000000014,1
19654359_0_3020273135042459469.csv,5,0.04500000000000003,1
70515524_0_5425995199745290007.csv,1,0.001,4
70515524_0_5425995199745290007.csv,2,0.001,4
70515524_0_5425995199745290007.csv,3,0.005,1
70515524_0_5425995199745290007.csv,4,0.22700000000000017,1
70515524_0_5425995199745290007.csv,5,0.36800000000000027,1
79966524_0_1484492112455633784.csv,1,0.002,1
79966524_0_1484492112455633784.csv,2,0.004,1
79966524_0_1484492112455633784.csv,3,0.11200000000000009,1
79966524_0_1484492112455633784.csv,4,0.4180000000000003,1
79966524_0_1484492112455633784.csv,5,0.5670000000000004,2
77694908_0_6083291340991074532.csv,1,0.001,1
77694908_0_6083291340991074532.csv,2,0.001,1
77694908_0_6083291340991074532.csv,3,0.022000000000000013,1
77694908_0_6083291340991074532.csv,4,0.22300000000000017,1
77694908_0_6083291340991074532.csv,5,0.35500000000000026,1
8286121_0_8471791395229161598.csv,1,0.001,1
8286121_0_8471791395229161598.csv,2,0.001,1
8286121_0_8471791395229161598.csv,3,0.001,1
8286121_0_8471791395229161598.csv,4,0.03300000000000002,1
8286121_0_8471791395229161598.csv,5,0.06200000000000005,1
40844462_1_6230938203735169234.csv,1,0.001,1
40844462_1_6230938203735169234.csv,2,0.001,1
40844462_1_6230938203735169234.csv,3,0.026000000000000016,1
40844462_1_6230938203735169234.csv,4,0.25000000000000017,1
40844462_1_6230938203735169234.csv,5,0.3910000000000003,1
40534006_0_4617468856744635526.csv,1,0.001,1
40534006_0_4617468856744635526.csv,2,0.001,1
40534006_0_4617468856744635526.csv,3,0.001,1
40534006_0_4617468856744635526.csv,4,0.014000000000000005,1
40534006_0_4617468856744635526.csv,5,0.026000000000000016,1
34041816_1_4749054164534706977.csv,1,0.001,1
34041816_1_4749054164534706977.csv,2,0.001,1
34041816_1_4749054164534706977.csv,3,0.001,1
34041816_1_4749054164534706977.csv,4,0.01800000000000001,1
34041816_1_4749054164534706977.csv,5,0.03400000000000002,1
35188621_0_6058553107571275232.csv,1,0.001,1
35188621_0_6058553107571275232.csv,2,0.001,1
35188621_0_6058553107571275232.csv,3,0.027000000000000017,1
35188621_0_6058553107571275232.csv,4,0.2470000000000002,1
35188621_0_6058553107571275232.csv,5,0.3870000000000003,1
28423212_0_2742990779532526553.csv,1,0.001,1
28423212_0_2742990779532526553.csv,2,0.001,1
28423212_0_2742990779532526553.csv,3,0.011000000000000003,1
28423212_0_2742990779532526553.csv,4,0.10800000000000008,1
28423212_0_2742990779532526553.csv,5,0.18800000000000014,1
76275868_0_4528346580716713695.csv,1,0.001,2
76275868_0_4528346580716713695.csv,2,0.001,1
76275868_0_4528346580716713695.csv,3,0.004,1
76275868_0_4528346580716713695.csv,4,0.1370000000000001,1
76275868_0_4528346580716713695.csv,5,0.23900000000000018,1
