fname,colid,fsid,from_alpha,to_alpha
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.tar.gz.csv,0,1,0.00100,0.01900
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.tar.gz.csv,0,2,0.00100,0.03700
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.tar.gz.csv,0,3,0.00100,0.48000
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.tar.gz.csv,0,4,0.03400,0.75200
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.tar.gz.csv,0,5,0.06400,0.74800
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.tar.gz.csv,1,1,-1.00000,-1.00000
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.tar.gz.csv,1,2,-1.00000,-1.00000
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.tar.gz.csv,1,3,-1.00000,-1.00000
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.tar.gz.csv,1,4,-1.00000,-1.00000
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.tar.gz.csv,1,5,-1.00000,-1.00000
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.tar.gz.csv,0,1,0.00100,0.00700
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.tar.gz.csv,0,2,0.00100,0.01500
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.tar.gz.csv,0,3,0.01200,0.22600
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.tar.gz.csv,0,4,0.25700,0.38500
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.tar.gz.csv,0,5,0.40500,0.48900
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.tar.gz.csv,0,1,0.00100,0.04800
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.tar.gz.csv,0,2,0.00100,0.09200
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.tar.gz.csv,0,3,0.00500,0.39900
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.tar.gz.csv,0,4,0.11500,0.61100
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.tar.gz.csv,0,5,0.20300,0.71300
68779923_2_1000046510804975562.tar.gz.csv,0,1,0.00100,0.15500
68779923_2_1000046510804975562.tar.gz.csv,0,2,0.00100,0.26900
68779923_2_1000046510804975562.tar.gz.csv,0,3,0.00200,0.84300
68779923_2_1000046510804975562.tar.gz.csv,0,4,0.04100,0.86100
68779923_2_1000046510804975562.tar.gz.csv,0,5,0.07800,0.85800
71137051_0_8039724067857124984.tar.gz.csv,0,1,0.00100,0.00600
71137051_0_8039724067857124984.tar.gz.csv,0,2,0.00100,0.01300
71137051_0_8039724067857124984.tar.gz.csv,0,3,0.00100,0.36100
71137051_0_8039724067857124984.tar.gz.csv,0,4,0.02800,0.73100
71137051_0_8039724067857124984.tar.gz.csv,0,5,0.05400,0.72700
39650055_5_7135804139753401681.tar.gz.csv,1,1,0.00100,0.00700
39650055_5_7135804139753401681.tar.gz.csv,1,2,0.00100,0.01500
39650055_5_7135804139753401681.tar.gz.csv,1,3,0.01400,0.24700
39650055_5_7135804139753401681.tar.gz.csv,1,4,0.13500,0.53800
39650055_5_7135804139753401681.tar.gz.csv,1,5,0.22900,0.64100
64207896_0_3206705146602325658.tar.gz.csv,0,1,-1.00000,-1.00000
64207896_0_3206705146602325658.tar.gz.csv,0,2,-1.00000,-1.00000
64207896_0_3206705146602325658.tar.gz.csv,0,3,0.00200,0.00200
64207896_0_3206705146602325658.tar.gz.csv,0,4,-1.00000,-1.00000
64207896_0_3206705146602325658.tar.gz.csv,0,5,-1.00000,-1.00000
90593344_0_8311455501234425088.tar.gz.csv,1,1,0.00100,0.35100
90593344_0_8311455501234425088.tar.gz.csv,1,2,0.00100,0.51900
90593344_0_8311455501234425088.tar.gz.csv,1,3,0.00300,0.89900
90593344_0_8311455501234425088.tar.gz.csv,1,4,0.06000,0.89600
90593344_0_8311455501234425088.tar.gz.csv,1,5,0.11100,0.89300
41839679_0_3009344178474568371.tar.gz.csv,1,1,-1.00000,-1.00000
41839679_0_3009344178474568371.tar.gz.csv,1,2,-1.00000,-1.00000
41839679_0_3009344178474568371.tar.gz.csv,1,3,0.00200,0.00200
41839679_0_3009344178474568371.tar.gz.csv,1,4,-1.00000,-1.00000
41839679_0_3009344178474568371.tar.gz.csv,1,5,-1.00000,-1.00000
12125836_0_1134348206297032434.tar.gz.csv,1,1,0.00100,0.99900
12125836_0_1134348206297032434.tar.gz.csv,1,2,0.00100,0.99900
12125836_0_1134348206297032434.tar.gz.csv,1,3,0.00100,0.99900
12125836_0_1134348206297032434.tar.gz.csv,1,4,0.00100,0.99900
12125836_0_1134348206297032434.tar.gz.csv,1,5,0.00100,0.99900
2066887_0_746204117268168398.tar.gz.csv,0,1,0.00100,0.09400
2066887_0_746204117268168398.tar.gz.csv,0,2,0.00100,0.17100
2066887_0_746204117268168398.tar.gz.csv,0,3,0.00100,0.51900
2066887_0_746204117268168398.tar.gz.csv,0,4,0.00100,0.70500
2066887_0_746204117268168398.tar.gz.csv,0,5,0.00200,0.78700
24859353_0_7027810986004269522.tar.gz.csv,1,1,-1.00000,-1.00000
24859353_0_7027810986004269522.tar.gz.csv,1,2,-1.00000,-1.00000
24859353_0_7027810986004269522.tar.gz.csv,1,3,-1.00000,-1.00000
24859353_0_7027810986004269522.tar.gz.csv,1,4,-1.00000,-1.00000
24859353_0_7027810986004269522.tar.gz.csv,1,5,-1.00000,-1.00000
37856682_0_6818907050314633217.tar.gz.csv,0,1,-1.00000,-1.00000
37856682_0_6818907050314633217.tar.gz.csv,0,2,-1.00000,-1.00000
37856682_0_6818907050314633217.tar.gz.csv,0,3,-1.00000,-1.00000
37856682_0_6818907050314633217.tar.gz.csv,0,4,-1.00000,-1.00000
37856682_0_6818907050314633217.tar.gz.csv,0,5,-1.00000,-1.00000
29414811_13_8724394428539174350.tar.gz.csv,1,1,-1.00000,-1.00000
29414811_13_8724394428539174350.tar.gz.csv,1,2,-1.00000,-1.00000
29414811_13_8724394428539174350.tar.gz.csv,1,3,0.00100,0.07400
29414811_13_8724394428539174350.tar.gz.csv,1,4,0.00100,0.48800
29414811_13_8724394428539174350.tar.gz.csv,1,5,0.00100,0.64600
55961337_0_6548713781034932742.tar.gz.csv,0,1,-1.00000,-1.00000
55961337_0_6548713781034932742.tar.gz.csv,0,2,-1.00000,-1.00000
55961337_0_6548713781034932742.tar.gz.csv,0,3,-1.00000,-1.00000
55961337_0_6548713781034932742.tar.gz.csv,0,4,-1.00000,-1.00000
55961337_0_6548713781034932742.tar.gz.csv,0,5,-1.00000,-1.00000
5873256_0_7795190905731964989.tar.gz.csv,1,1,-1.00000,-1.00000
5873256_0_7795190905731964989.tar.gz.csv,1,2,-1.00000,-1.00000
5873256_0_7795190905731964989.tar.gz.csv,1,3,0.00100,0.08700
5873256_0_7795190905731964989.tar.gz.csv,1,4,0.01600,0.51300
5873256_0_7795190905731964989.tar.gz.csv,1,5,0.03000,0.66800
12183399_0_6725061928072492226.tar.gz.csv,0,1,0.00100,0.34100
12183399_0_6725061928072492226.tar.gz.csv,0,2,0.00100,0.50800
12183399_0_6725061928072492226.tar.gz.csv,0,3,0.00100,0.92400
12183399_0_6725061928072492226.tar.gz.csv,0,4,0.04100,0.92200
12183399_0_6725061928072492226.tar.gz.csv,0,5,0.07800,0.92100
77632062_0_2292892375652659825.tar.gz.csv,1,1,0.00100,0.00600
77632062_0_2292892375652659825.tar.gz.csv,1,2,0.00100,0.01300
77632062_0_2292892375652659825.tar.gz.csv,1,3,0.00600,0.25500
77632062_0_2292892375652659825.tar.gz.csv,1,4,0.12700,0.59500
77632062_0_2292892375652659825.tar.gz.csv,1,5,0.22200,0.72100
