fname,fs,alpha,k
43237185_1_3636357855502246981.csv,3,0.001,1
43237185_1_3636357855502246981.csv,4,0.001,1
43237185_1_3636357855502246981.csv,5,0.001,1
88523363_0_8180214313099580515.csv,1,0.001,1
88523363_0_8180214313099580515.csv,2,0.001,1
88523363_0_8180214313099580515.csv,3,0.004,1
88523363_0_8180214313099580515.csv,4,0.05100000000000004,1
88523363_0_8180214313099580515.csv,5,0.09300000000000007,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,1,0.001,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,2,0.001,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,3,0.005,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,4,0.11500000000000009,1
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,5,0.20300000000000015,1
58891288_0_1117541047012405958.csv,1,0.02100000000000001,1
58891288_0_1117541047012405958.csv,2,0.04000000000000003,1
58891288_0_1117541047012405958.csv,3,0.17600000000000013,1
58891288_0_1117541047012405958.csv,4,0.32500000000000023,1
58891288_0_1117541047012405958.csv,5,0.4290000000000003,1
25404227_0_2240631045609013057.csv,1,0.02000000000000001,1
25404227_0_2240631045609013057.csv,2,0.03900000000000003,1
25404227_0_2240631045609013057.csv,3,0.16900000000000012,1
25404227_0_2240631045609013057.csv,4,0.3120000000000002,1
25404227_0_2240631045609013057.csv,5,0.4150000000000003,1
9475172_1_1023126399856690702.csv,1,0.001,1
9475172_1_1023126399856690702.csv,2,0.001,1
9475172_1_1023126399856690702.csv,3,0.005,1
9475172_1_1023126399856690702.csv,4,0.08600000000000006,1
9475172_1_1023126399856690702.csv,5,0.1550000000000001,1
60319454_0_3938426910282115527.csv,1,0.003,1
60319454_0_3938426910282115527.csv,2,0.006,1
60319454_0_3938426910282115527.csv,3,0.16900000000000012,1
60319454_0_3938426910282115527.csv,4,0.5200000000000004,1
60319454_0_3938426910282115527.csv,0,5,0.44300000000000034,2
52299421_0_4473286348258170200.csv,1,1,0.001,2
52299421_0_4473286348258170200.csv,2,0.001,1
52299421_0_4473286348258170200.csv,3,0.005,1
52299421_0_4473286348258170200.csv,4,0.1490000000000001,1
52299421_0_4473286348258170200.csv,5,0.2570000000000002,1
37856682_0_6818907050314633217.csv,0,1,0.001,12
37856682_0_6818907050314633217.csv,0,2,0.001,10
37856682_0_6818907050314633217.csv,0,3,0.07200000000000005,13
37856682_0_6818907050314633217.csv,0,4,0.8190000000000006,17
37856682_0_6818907050314633217.csv,0,5,0.8980000000000007,17
77694908_0_6083291340991074532.csv,1,0.02000000000000001,1
77694908_0_6083291340991074532.csv,2,0.03900000000000003,1
77694908_0_6083291340991074532.csv,3,0.17200000000000013,1
77694908_0_6083291340991074532.csv,4,0.31900000000000023,1
77694908_0_6083291340991074532.csv,5,0.4220000000000003,1
39759273_0_1427898308030295194.csv,1,0.02000000000000001,1
39759273_0_1427898308030295194.csv,2,0.03800000000000003,1
39759273_0_1427898308030295194.csv,3,0.16900000000000012,1
39759273_0_1427898308030295194.csv,4,0.3140000000000002,1
39759273_0_1427898308030295194.csv,5,0.4160000000000003,1
29414811_2_4773219892816395776.csv,1,0.001,1
29414811_2_4773219892816395776.csv,2,0.001,1
29414811_2_4773219892816395776.csv,3,0.008,1
29414811_2_4773219892816395776.csv,4,0.08400000000000006,1
29414811_2_4773219892816395776.csv,5,0.1490000000000001,1
29414811_13_8724394428539174350.csv,2,1,0.001,2
29414811_13_8724394428539174350.csv,2,2,0.001,2
29414811_13_8724394428539174350.csv,2,3,0.001,2
29414811_13_8724394428539174350.csv,2,4,0.001,2
29414811_13_8724394428539174350.csv,2,5,0.001,2
33401079_0_9127583903019856402.csv,1,0.02900000000000002,1
33401079_0_9127583903019856402.csv,2,0.05500000000000004,1
33401079_0_9127583903019856402.csv,3,0.23000000000000018,1
33401079_0_9127583903019856402.csv,4,0.3840000000000003,1
33401079_0_9127583903019856402.csv,5,0.4870000000000004,1
