class,fsid,mean,median,num
http://dbpedia.org/ontology/RadioStation,1,1.00,1.00,3
http://dbpedia.org/ontology/Building,1,0.33,0.33,3
http://dbpedia.org/ontology/Museum,1,0.00,0.00,0
http://dbpedia.org/ontology/PoliticalParty,1,0.09,0.73,11
http://dbpedia.org/ontology/Mountain,1,0.50,0.58,12
http://dbpedia.org/ontology/Lake,1,0.33,1.00,6
http://dbpedia.org/ontology/Monarch,1,0.00,0.00,0
http://dbpedia.org/ontology/Scientist,1,0.62,0.50,8
http://dbpedia.org/ontology/Country,1,0.60,0.90,20
http://dbpedia.org/ontology/Plant,1,0.33,0.33,3
http://dbpedia.org/ontology/City,1,1.00,1.00,9
http://dbpedia.org/ontology/VideoGame,1,0.18,0.59,17
http://dbpedia.org/ontology/Bird,1,0.40,0.40,5
http://dbpedia.org/ontology/Person,1,1.00,1.00,2
http://dbpedia.org/ontology/BaseballPlayer,1,0.67,0.83,6
http://dbpedia.org/ontology/Hospital,1,0.38,0.50,8
http://dbpedia.org/ontology/Film,1,1.00,1.00,17
http://dbpedia.org/ontology/Newspaper,1,0.50,0.50,2
http://dbpedia.org/ontology/AcademicJournal,1,0.00,0.00,0
http://dbpedia.org/ontology/Airline,1,0.00,0.00,0
http://dbpedia.org/ontology/Airport,1,0.83,0.83,6
http://dbpedia.org/ontology/Animal,1,0.75,0.50,4
http://dbpedia.org/ontology/Wrestler,1,0.50,0.50,2
http://dbpedia.org/ontology/Company,1,0.24,0.88,17
http://dbpedia.org/ontology/RadioStation,2,1.00,1.00,3
http://dbpedia.org/ontology/Building,2,0.33,0.33,3
http://dbpedia.org/ontology/Museum,2,1.00,1.00,2
http://dbpedia.org/ontology/PoliticalParty,2,0.09,0.73,11
http://dbpedia.org/ontology/Mountain,2,0.43,0.64,14
http://dbpedia.org/ontology/Lake,2,0.29,0.86,7
http://dbpedia.org/ontology/Monarch,2,0.00,0.00,0
http://dbpedia.org/ontology/Scientist,2,0.62,0.62,8
http://dbpedia.org/ontology/Country,2,0.78,0.78,23
http://dbpedia.org/ontology/Plant,2,0.33,0.33,3
http://dbpedia.org/ontology/City,2,1.00,1.00,9
http://dbpedia.org/ontology/VideoGame,2,0.28,0.56,18
http://dbpedia.org/ontology/Bird,2,0.40,0.40,5
http://dbpedia.org/ontology/Person,2,1.00,1.00,2
http://dbpedia.org/ontology/BaseballPlayer,2,0.67,0.83,6
http://dbpedia.org/ontology/Hospital,2,0.38,0.50,8
http://dbpedia.org/ontology/Film,2,1.00,1.00,17
http://dbpedia.org/ontology/Newspaper,2,0.50,0.50,2
http://dbpedia.org/ontology/AcademicJournal,2,0.00,0.00,0
http://dbpedia.org/ontology/Airline,2,0.00,0.00,0
http://dbpedia.org/ontology/Airport,2,0.71,0.71,7
http://dbpedia.org/ontology/Animal,2,0.75,0.75,4
http://dbpedia.org/ontology/Wrestler,2,0.50,0.50,2
http://dbpedia.org/ontology/Company,2,0.24,0.88,17
http://dbpedia.org/ontology/RadioStation,3,0.60,0.60,5
http://dbpedia.org/ontology/Building,3,1.00,1.00,3
http://dbpedia.org/ontology/Museum,3,1.00,1.00,7
http://dbpedia.org/ontology/PoliticalParty,3,1.00,1.00,11
http://dbpedia.org/ontology/Mountain,3,0.71,0.64,14
http://dbpedia.org/ontology/Lake,3,0.64,0.55,11
http://dbpedia.org/ontology/Monarch,3,0.33,0.44,9
http://dbpedia.org/ontology/Scientist,3,0.89,0.89,9
http://dbpedia.org/ontology/Country,3,0.56,0.56,32
http://dbpedia.org/ontology/Plant,3,1.00,1.00,3
http://dbpedia.org/ontology/City,3,1.00,1.00,9
http://dbpedia.org/ontology/VideoGame,3,0.95,0.95,19
http://dbpedia.org/ontology/Bird,3,1.00,1.00,5
http://dbpedia.org/ontology/Person,3,1.00,1.00,2
http://dbpedia.org/ontology/BaseballPlayer,3,1.00,1.00,6
http://dbpedia.org/ontology/Hospital,3,0.75,0.75,8
http://dbpedia.org/ontology/Film,3,1.00,1.00,17
http://dbpedia.org/ontology/Newspaper,3,0.50,0.50,4
http://dbpedia.org/ontology/AcademicJournal,3,0.50,0.50,2
http://dbpedia.org/ontology/Airline,3,1.00,1.00,2
http://dbpedia.org/ontology/Airport,3,0.86,0.71,7
http://dbpedia.org/ontology/Animal,3,1.00,1.00,4
http://dbpedia.org/ontology/Wrestler,3,1.00,1.00,2
http://dbpedia.org/ontology/Company,3,0.94,0.94,17
http://dbpedia.org/ontology/RadioStation,4,0.60,0.60,5
http://dbpedia.org/ontology/Building,4,1.00,1.00,3
http://dbpedia.org/ontology/Museum,4,1.00,1.00,7
http://dbpedia.org/ontology/PoliticalParty,4,1.00,1.00,11
http://dbpedia.org/ontology/Mountain,4,1.00,0.93,14
http://dbpedia.org/ontology/Lake,4,0.91,0.91,11
http://dbpedia.org/ontology/Monarch,4,0.43,0.29,7
http://dbpedia.org/ontology/Scientist,4,1.00,1.00,8
http://dbpedia.org/ontology/Country,4,1.00,0.97,32
http://dbpedia.org/ontology/Plant,4,1.00,1.00,3
http://dbpedia.org/ontology/City,4,1.00,1.00,9
http://dbpedia.org/ontology/VideoGame,4,1.00,1.00,19
http://dbpedia.org/ontology/Bird,4,1.00,1.00,5
http://dbpedia.org/ontology/Person,4,1.00,1.00,2
http://dbpedia.org/ontology/BaseballPlayer,4,1.00,1.00,6
http://dbpedia.org/ontology/Hospital,4,1.00,1.00,8
http://dbpedia.org/ontology/Film,4,1.00,1.00,17
http://dbpedia.org/ontology/Newspaper,4,0.75,0.75,4
http://dbpedia.org/ontology/AcademicJournal,4,1.00,1.00,2
http://dbpedia.org/ontology/Airline,4,1.00,1.00,2
