fname,colid,fs,alpha,k
v15_77.csv,1,4,0.46900000000000036,1
v15_77.csv,1,5,0.6030000000000004,1
v15_77.csv,2,1,0.001,1
v15_77.csv,2,2,0.001,1
v15_77.csv,2,3,0.005,1
v15_77.csv,2,4,0.1440000000000001,1
v15_77.csv,2,5,0.2490000000000002,1
v15_78.csv,0,1,0.002,1
v15_78.csv,0,2,0.003,1
v15_78.csv,0,3,0.06300000000000004,1
v15_78.csv,0,4,0.22700000000000017,1
v15_78.csv,0,5,0.34200000000000025,1
v15_78.csv,1,1,0.001,1
v15_78.csv,1,2,0.001,1
v15_78.csv,1,3,0.001,1
v15_78.csv,1,4,0.001,1
v15_78.csv,1,5,0.001,1
v15_78.csv,2,1,0.022000000000000013,2
v15_78.csv,2,2,0.04300000000000003,2
v15_78.csv,2,3,0.3800000000000003,2
v15_78.csv,2,4,0.8750000000000007,3
v15_78.csv,2,5,0.9070000000000007,3
v15_84.csv,0,1,0.001,1
v15_84.csv,0,2,0.001,1
v15_84.csv,0,3,0.001,1
v15_84.csv,0,4,0.001,1
v15_84.csv,0,5,0.001,1
v15_84.csv,1,1,0.001,1
v15_84.csv,1,2,0.001,1
v15_84.csv,1,3,0.007,1
v15_84.csv,1,4,0.1470000000000001,1
v15_84.csv,1,5,0.25300000000000017,1
v15_84.csv,2,1,0.001,1
v15_84.csv,2,2,0.001,1
v15_84.csv,2,3,0.015000000000000006,1
v15_84.csv,2,4,0.21500000000000016,1
v15_84.csv,2,5,0.35000000000000026,1
v15_86.csv,0,1,0.001,1
v15_86.csv,0,2,0.001,1
v15_86.csv,0,3,0.001,1
v15_86.csv,0,4,0.001,1
v15_86.csv,0,5,0.001,1
v15_86.csv,1,1,0.001,1
v15_86.csv,1,2,0.001,1
v15_86.csv,1,3,0.008,1
v15_86.csv,1,4,0.1470000000000001,1
v15_86.csv,1,5,0.25200000000000017,1
v15_86.csv,2,1,0.004,1
v15_86.csv,2,2,0.008,1
v15_86.csv,2,3,0.16900000000000012,1
v15_86.csv,2,4,0.44700000000000034,1
v15_86.csv,2,5,0.5780000000000004,1
v15_88.csv,0,1,0.006,1
v15_88.csv,0,2,0.011000000000000003,1
v15_88.csv,0,3,0.19300000000000014,1
v15_88.csv,0,4,0.35000000000000026,1
v15_88.csv,0,5,0.45300000000000035,1
v15_88.csv,1,1,0.001,1
v15_88.csv,1,2,0.001,1
v15_88.csv,1,3,0.02000000000000001,1
v15_88.csv,1,4,0.2820000000000002,1
v15_88.csv,1,5,0.43300000000000033,1
v15_89.csv,0,1,0.005,1
v15_89.csv,0,2,0.010000000000000002,1
v15_89.csv,0,3,0.1570000000000001,1
v15_89.csv,0,4,0.3810000000000003,1
v15_89.csv,0,5,0.5110000000000003,1
v15_89.csv,1,1,0.001,1
v15_89.csv,1,2,0.001,1
v15_89.csv,1,3,0.011000000000000003,1
v15_89.csv,1,4,0.20200000000000015,1
v15_89.csv,1,5,0.33100000000000024,1
v15_90.csv,0,1,0.001,2
v15_90.csv,0,2,0.001,2
v15_90.csv,0,3,0.001,2
v15_90.csv,0,4,0.001,2
v15_90.csv,0,5,0.001,2
v15_90.csv,1,1,0.001,1
v15_90.csv,1,2,0.001,1
v15_90.csv,1,3,0.008,1
v15_90.csv,1,4,0.1450000000000001,1
v15_90.csv,1,5,0.2480000000000002,1
v15_95.csv,1,1,0.001,1
v15_95.csv,1,2,0.001,1
v15_95.csv,1,3,0.010000000000000002,1
v15_95.csv,1,4,0.1580000000000001,1
v15_95.csv,1,5,0.2680000000000002,1
v15_95.csv,2,1,0.05200000000000004,2
v15_95.csv,2,2,0.001,2
v15_95.csv,2,3,0.01800000000000001,1
v15_95.csv,2,4,0.3990000000000003,1
v15_95.csv,2,5,0.5140000000000003,2
v15_132.csv,0,1,0.001,1
v15_132.csv,0,2,0.001,1
v15_132.csv,0,3,0.001,1
v15_132.csv,0,4,0.001,1
v15_132.csv,0,5,0.001,1
v15_132.csv,1,1,0.001,1
v15_132.csv,1,2,0.001,1
v15_132.csv,1,3,0.001,1
v15_132.csv,1,4,0.001,1
v15_132.csv,1,5,0.001,1
v15_150.csv,0,1,0.05600000000000004,1
v15_150.csv,0,2,0.10500000000000008,1
v15_150.csv,0,3,0.36900000000000027,1
v15_150.csv,0,4,0.5220000000000004,1
v15_150.csv,0,5,0.6160000000000004,1
v15_150.csv,1,1,0.035000000000000024,1
v15_150.csv,1,2,0.06600000000000004,1
v15_150.csv,1,3,0.2590000000000002,1
v15_150.csv,1,4,0.4080000000000003,1
v15_150.csv,1,5,0.5070000000000003,1
v15_150.csv,2,1,0.04200000000000003,1
v15_150.csv,2,2,0.07900000000000006,1
v15_150.csv,2,3,0.2700000000000002,1
v15_150.csv,2,4,0.3850000000000003,1
v15_150.csv,2,5,0.4840000000000004,1
v15_150.csv,3,1,0.001,1
v15_150.csv,3,2,0.001,1
v15_150.csv,3,3,0.005,1
v15_150.csv,3,4,0.1510000000000001,1
v15_150.csv,3,5,0.2600000000000002,1
v15_151.csv,0,1,0.001,1
v15_151.csv,0,2,0.001,1
v15_151.csv,0,3,0.003,1
v15_151.csv,0,4,0.036000000000000025,1
v15_151.csv,0,5,0.06600000000000004,1
v15_151.csv,1,1,0.001,1
v15_151.csv,1,2,0.001,1
v15_151.csv,1,3,0.003,1
v15_151.csv,1,4,0.035000000000000024,1
v15_151.csv,1,5,0.06600000000000004,1
v15_151.csv,2,1,0.21500000000000016,1
v15_151.csv,2,2,0.35300000000000026,1
v15_151.csv,2,3,0.03800000000000003,1
v15_151.csv,2,4,0.4250000000000003,1
v15_151.csv,2,5,0.47200000000000036,2
v15_153.csv,1,1,0.036000000000000025,1
v15_153.csv,1,2,0.07000000000000005,1
v15_153.csv,1,3,0.2810000000000002,1
v15_153.csv,1,4,0.45400000000000035,1
v15_153.csv,1,5,0.5600000000000004,2
v15_153.csv,3,1,0.001,3
v15_153.csv,3,2,0.001,3
v15_153.csv,3,3,0.001,3
v15_153.csv,3,4,0.001,3
v15_153.csv,3,5,0.001,3
v15_154.csv,0,1,0.003,1
v15_154.csv,0,2,0.005,1
v15_154.csv,0,3,0.10700000000000008,1
v15_154.csv,0,4,0.33900000000000025,1
v15_154.csv,0,5,0.47600000000000037,1
v15_154.csv,1,1,0.04500000000000003,1
v15_154.csv,1,2,0.08400000000000006,1
v15_154.csv,1,3,0.32300000000000023,1
v15_154.csv,1,4,0.5040000000000003,1
v15_154.csv,1,5,0.6080000000000004,1
v15_154.csv,2,1,0.005,1
v15_154.csv,2,2,0.009000000000000001,1
v15_154.csv,2,3,0.16700000000000012,1
v15_154.csv,2,4,0.34600000000000025,1
v15_154.csv,2,5,0.44800000000000034,1
v15_154.csv,3,1,0.001,3
v15_154.csv,3,2,0.001,3
v15_154.csv,3,3,0.001,3
v15_154.csv,3,4,0.001,3
v15_154.csv,3,5,0.001,3
v15_155.csv,0,1,0.003,1
v15_155.csv,0,2,0.006,1
v15_155.csv,0,3,0.10300000000000008,1
v15_155.csv,0,4,0.33700000000000024,1
v15_155.csv,0,5,0.44300000000000034,1
v15_155.csv,1,1,0.04500000000000003,1
v15_155.csv,1,2,0.08400000000000006,1
v15_155.csv,1,3,0.32300000000000023,1
v15_155.csv,1,4,0.5040000000000003,1
v15_155.csv,1,5,0.6080000000000004,1
v15_155.csv,2,1,0.06900000000000005,1
v15_155.csv,2,2,0.12800000000000009,1
v15_155.csv,2,3,0.4280000000000003,1
v15_155.csv,2,4,0.5970000000000004,1
v15_155.csv,2,5,0.6890000000000005,1
v15_155.csv,3,1,0.003,1
v15_155.csv,3,2,0.005,1
v15_155.csv,3,3,0.09100000000000007,1
v15_155.csv,3,4,0.3030000000000002,1
v15_155.csv,3,5,0.43500000000000033,1
v15_156.csv,0,1,0.06900000000000005,1
v15_156.csv,0,2,0.12800000000000009,1
v15_156.csv,0,3,0.4280000000000003,1
v15_156.csv,0,4,0.5980000000000004,1
v15_156.csv,0,5,0.6900000000000005,1
v15_156.csv,1,1,0.001,1
v15_156.csv,1,2,0.001,1
v15_156.csv,1,3,0.005,1
v15_156.csv,1,4,0.07400000000000005,1
v15_156.csv,1,5,0.1340000000000001,1
v15_156.csv,2,1,0.003,1
v15_156.csv,2,2,0.005,1
v15_156.csv,2,3,0.08200000000000006,1
v15_156.csv,2,4,0.25100000000000017,1
v15_156.csv,2,5,0.3730000000000003,1
v15_156.csv,3,1,0.001,1
v15_156.csv,3,2,0.001,1
v15_156.csv,3,3,0.005,1
v15_156.csv,3,4,0.08800000000000006,1
v15_156.csv,3,5,0.1590000000000001,1
v15_161.csv,0,1,0.001,1
v15_161.csv,0,2,0.001,1
v15_161.csv,0,3,0.004,1
v15_161.csv,0,4,0.06100000000000005,1
v15_161.csv,0,5,0.11200000000000009,1
v15_161.csv,1,1,0.035000000000000024,1
v15_161.csv,1,2,0.06700000000000005,1
v15_161.csv,1,3,0.23400000000000018,1
v15_161.csv,1,4,0.32400000000000023,1
v15_161.csv,1,5,0.4240000000000003,1
v15_161.csv,2,1,0.046000000000000034,1
v15_161.csv,2,2,0.08700000000000006,1
v15_161.csv,2,3,0.2900000000000002,1
v15_161.csv,2,4,0.3900000000000003,1
v15_161.csv,2,5,0.46500000000000036,1
v15_162.csv,0,1,0.001,1
v15_162.csv,0,2,0.001,1
v15_162.csv,0,3,0.001,1
v15_162.csv,0,4,0.005,1
v15_162.csv,0,5,0.010000000000000002,1
v15_162.csv,1,1,0.06600000000000004,1
v15_162.csv,1,2,0.1230000000000001,1
v15_162.csv,1,3,0.3760000000000003,1
v15_162.csv,1,4,0.4860000000000004,1
v15_162.csv,1,5,0.5620000000000004,1
v15_162.csv,2,1,0.04500000000000003,1
v15_162.csv,2,2,0.08600000000000006,1
v15_162.csv,2,3,0.2870000000000002,1
v15_162.csv,2,4,0.3940000000000003,1
v15_162.csv,2,5,0.4990000000000004,1
v15_163.csv,0,1,0.001,1
v15_163.csv,0,2,0.001,1
v15_163.csv,0,3,0.004,1
v15_163.csv,0,4,0.07000000000000005,1
v15_163.csv,0,5,0.12800000000000009,1
v15_163.csv,1,1,0.025000000000000015,1
v15_163.csv,1,2,0.048000000000000036,1
v15_163.csv,1,3,0.20200000000000015,1
v15_163.csv,1,4,0.33500000000000024,1
v15_163.csv,1,5,0.43400000000000033,1
v15_163.csv,2,1,0.04000000000000003,1
v15_163.csv,2,2,0.07600000000000005,1
v15_163.csv,2,3,0.2600000000000002,1
v15_163.csv,2,4,0.36900000000000027,1
v15_163.csv,2,5,0.46100000000000035,1
v15_164.csv,0,1,0.001,1
v15_164.csv,0,2,0.001,1
v15_164.csv,0,3,0.004,1
v15_164.csv,0,4,0.06700000000000005,1
v15_164.csv,0,5,0.1220000000000001,1
v15_164.csv,1,1,0.037000000000000026,1
v15_164.csv,1,2,0.07100000000000005,1
v15_164.csv,1,3,0.2470000000000002,1
v15_164.csv,1,4,0.34000000000000025,1
v15_164.csv,1,5,0.4290000000000003,1
v15_164.csv,2,1,0.037000000000000026,1
v15_164.csv,2,2,0.07000000000000005,1
v15_164.csv,2,3,0.2450000000000002,1
v15_164.csv,2,4,0.33600000000000024,1
v15_164.csv,2,5,0.43200000000000033,1
v15_165.csv,0,1,0.001,1
v15_165.csv,0,2,0.001,1
v15_165.csv,0,3,0.004,1
v15_165.csv,0,4,0.058000000000000045,1
v15_165.csv,0,5,0.10700000000000008,1
v15_165.csv,1,1,0.07100000000000005,1
v15_165.csv,1,2,0.1310000000000001,1
v15_165.csv,1,3,0.3930000000000003,1
v15_165.csv,1,4,0.5030000000000003,1
v15_165.csv,1,5,0.5790000000000004,1
v15_165.csv,2,1,0.047000000000000035,1
v15_165.csv,2,2,0.08900000000000007,1
v15_165.csv,2,3,0.2950000000000002,1
v15_165.csv,2,4,0.3960000000000003,1
v15_165.csv,2,5,0.47100000000000036,1
v15_166.csv,0,1,0.001,1
v15_166.csv,0,2,0.001,1
v15_166.csv,0,3,0.003,1
v15_166.csv,0,4,0.058000000000000045,1
v15_166.csv,0,5,0.10600000000000008,1
v15_166.csv,1,1,0.028000000000000018,1
v15_166.csv,1,2,0.05300000000000004,1
v15_166.csv,1,3,0.19400000000000014,1
v15_166.csv,1,4,0.3150000000000002,1
v15_166.csv,1,5,0.4140000000000003,1
v15_166.csv,2,1,0.03400000000000002,1
v15_166.csv,2,2,0.06500000000000004,1
v15_166.csv,2,3,0.23000000000000018,1
v15_166.csv,2,4,0.34300000000000025,1
v15_166.csv,2,5,0.43800000000000033,1
v15_167.csv,0,1,0.001,1
v15_167.csv,0,2,0.001,1
v15_167.csv,0,3,0.004,1
v15_167.csv,0,4,0.059000000000000045,1
v15_167.csv,0,5,0.10800000000000008,1
v15_167.csv,1,1,0.03300000000000002,1
v15_167.csv,1,2,0.06300000000000004,1
v15_167.csv,1,3,0.22400000000000017,1
v15_167.csv,1,4,0.3820000000000003,1
v15_167.csv,1,5,0.4870000000000004,1
v15_167.csv,2,1,0.03200000000000002,1
v15_167.csv,2,2,0.06100000000000005,1
v15_167.csv,2,3,0.2450000000000002,1
v15_167.csv,2,4,0.4060000000000003,1
v15_167.csv,2,5,0.5140000000000003,1
v15_168.csv,0,1,0.001,1
v15_168.csv,0,2,0.001,1
v15_168.csv,0,3,0.004,1
v15_168.csv,0,4,0.059000000000000045,1
v15_168.csv,0,5,0.10800000000000008,1
v15_168.csv,1,1,0.05300000000000004,1
v15_168.csv,1,2,0.09900000000000007,1
v15_168.csv,1,3,0.35300000000000026,1
v15_168.csv,1,4,0.5040000000000003,1
