fname,colid,fsid,from_alpha,to_alpha
19654359_0_3020273135042459469.csv,1,4,0.02500,0.72800
19654359_0_3020273135042459469.csv,1,5,0.04700,0.83300
70515524_0_5425995199745290007.csv,0,1,-1.00000,-1.00000
70515524_0_5425995199745290007.csv,0,2,-1.00000,-1.00000
70515524_0_5425995199745290007.csv,0,3,0.00700,0.01100
70515524_0_5425995199745290007.csv,0,4,-1.00000,-1.00000
70515524_0_5425995199745290007.csv,0,5,-1.00000,-1.00000
79966524_0_1484492112455633784.csv,0,1,0.00100,0.09500
79966524_0_1484492112455633784.csv,0,2,0.00200,0.17400
79966524_0_1484492112455633784.csv,0,3,0.05700,0.68500
79966524_0_1484492112455633784.csv,0,4,0.25300,0.65400
79966524_0_1484492112455633784.csv,0,5,0.38200,0.61500
77694908_0_6083291340991074532.csv,1,1,-1.00000,-1.00000
77694908_0_6083291340991074532.csv,1,2,0.00100,0.00100
77694908_0_6083291340991074532.csv,1,3,0.06900,0.08300
77694908_0_6083291340991074532.csv,1,4,-1.00000,-1.00000
77694908_0_6083291340991074532.csv,1,5,-1.00000,-1.00000
8286121_0_8471791395229161598.csv,0,1,0.00100,0.05900
8286121_0_8471791395229161598.csv,0,2,0.00100,0.11200
8286121_0_8471791395229161598.csv,0,3,0.00200,0.65000
8286121_0_8471791395229161598.csv,0,4,0.05500,0.72200
8286121_0_8471791395229161598.csv,0,5,0.10300,0.71800
40844462_1_6230938203735169234.csv,1,1,0.00100,0.00800
40844462_1_6230938203735169234.csv,1,2,0.00100,0.01600
40844462_1_6230938203735169234.csv,1,3,0.03100,0.18500
40844462_1_6230938203735169234.csv,1,4,0.28500,0.40500
40844462_1_6230938203735169234.csv,1,5,0.43400,0.53100
40534006_0_4617468856744635526.csv,1,1,0.00100,0.05500
40534006_0_4617468856744635526.csv,1,2,0.00100,0.10500
40534006_0_4617468856744635526.csv,1,3,0.00100,0.48600
40534006_0_4617468856744635526.csv,1,4,0.00300,0.67600
40534006_0_4617468856744635526.csv,1,5,0.00500,0.76400
34041816_1_4749054164534706977.csv,1,1,-1.00000,-1.00000
34041816_1_4749054164534706977.csv,1,2,0.00100,0.00100
