fname,colid,fs,alpha,k
2014_Kvalserien#0.csv,0,1,0.001,1
2014_Kvalserien#0.csv,0,2,0.001,1
2014_Kvalserien#0.csv,0,3,0.001,1
2014_Kvalserien#0.csv,0,4,0.001,1
2014_Kvalserien#0.csv,0,5,0.001,1
2000%E2%80%9301_Serie_A#4.csv,1,1,0.07300000000000005,1
2000%E2%80%9301_Serie_A#4.csv,1,2,0.1340000000000001,1
2000%E2%80%9301_Serie_A#4.csv,1,3,0.4260000000000003,1
2000%E2%80%9301_Serie_A#4.csv,1,4,0.5670000000000004,1
2000%E2%80%9301_Serie_A#4.csv,1,5,0.6530000000000005,1
Of_Montreal_discography#0.csv,1,1,0.2410000000000002,2
Of_Montreal_discography#0.csv,1,2,0.3870000000000003,2
Of_Montreal_discography#0.csv,1,3,0.8890000000000007,3
Of_Montreal_discography#0.csv,1,4,0.9560000000000007,4
Of_Montreal_discography#0.csv,1,5,0.9730000000000008,4
St._Andrew%E2%80%94St._Patrick#4.csv,1,1,0.001,1
St._Andrew%E2%80%94St._Patrick#4.csv,1,2,0.001,1
St._Andrew%E2%80%94St._Patrick#4.csv,1,3,0.001,1
St._Andrew%E2%80%94St._Patrick#4.csv,1,4,0.02000000000000001,1
St._Andrew%E2%80%94St._Patrick#4.csv,1,5,0.03800000000000003,1
List_of_international_goals_scored_by_Thierry_Henry#0.csv,0,1,0.001,1
List_of_international_goals_scored_by_Thierry_Henry#0.csv,0,2,0.001,1
List_of_international_goals_scored_by_Thierry_Henry#0.csv,0,3,0.001,1
List_of_international_goals_scored_by_Thierry_Henry#0.csv,0,4,0.016000000000000007,1
List_of_international_goals_scored_by_Thierry_Henry#0.csv,0,5,0.03000000000000002,1
Peter_Straughan#0.csv,1,1,0.001,1
Peter_Straughan#0.csv,1,2,0.001,1
Peter_Straughan#0.csv,1,3,0.016000000000000007,1
Peter_Straughan#0.csv,1,4,0.17200000000000013,1
Peter_Straughan#0.csv,1,5,0.2850000000000002,1
1975_in_Canadian_television#1.csv,0,1,0.001,1
1975_in_Canadian_television#1.csv,0,2,0.001,1
1975_in_Canadian_television#1.csv,0,3,0.003,1
1975_in_Canadian_television#1.csv,0,4,0.035000000000000024,1
1975_in_Canadian_television#1.csv,0,5,0.06500000000000004,1
